Transfection,Replicate,Receptor ,Peptide ,0,1.00E-12,1.00E-11,1.00E-10,0.000000001,0.00000001,0.0000001,0.000001,0.00001,0.0001,atp
2,4,BfloR3,GnRH,7119.147217,10737.78108,7753.520136,7114.990973,10566.95055,18924.0855,13598.10611,18161.26885,21294.1619,20237.60215,15876.10754
2,5,BfloR3,GnRH,4577.442675,7734.462996,5392.987303,6480.637446,7160.226504,13384.08328,15719.48804,15407.21999,13814.9304,13678.03477,14947.92604
3,6,BfloR3,GnRH,1560.763562,3274.53074,2637.787751,1004.849987,3356.682018,5557.780608,7435.114514,7843.899354,8894.012898,10000.36056,20046.51312
3,7,BfloR3,GnRH,1672.774114,2487.797535,2225.054528,1328.202313,3211.894994,5369.861119,6967.314895,8478.350893,11284.38035,10550.81484,33518.93902
3,6,BfloR3,CRZ,2578.150274,3327.829691,2404.056466,1131.045925,4540.48417,8029.446434,10929.0233,12907.15302,11611.7223,13389.72585,29377.36007
3,7,BfloR3,CRZ,1562.926952,2846.242476,2063.479118,1112.729237,4288.365896,9452.282789,9170.470842,10905.25646,9308.591914,13760.96948,23198.8749
3,8,BfloR3,CRZ,1168.924362,2827.619913,1866.673323,1130.914073,3677.86175,7262.128615,8488.988689,11557.50812,11371.89887,11557.59467,23011.36702
3,7,BfloR3,CRZ-ext,2345.735727,1472.37864,1660.234714,1435.735256,1471.075237,1344.236539,1947.372384,3451.806342,6121.500174,5690.103484,12617.1864
3,8,BfloR3,CRZ-ext,2130.827258,2702.507938,2081.475714,1543.398723,1525.451773,2043.1556,2571.398916,3164.37949,5278.746194,5697.875217,11168.05587
3,9,BfloR3,CRZ-ext,1260.860702,2736.879706,1633.190418,1004.882562,1309.410865,1541.357437,1804.775846,3950.823918,5333.433084,4120.982667,8104.241487
1,1,BfloR4,GnRH,944.0721816,712.3771888,752.5829588,876.1073848,893.4165516,1590.60419,1860.521004,2216.360527,2154.867448,1922.290146,35658.41264
1,2,BfloR4,GnRH,694.5884984,427.0064676,412.2791244,589.614228,393.4073364,1179.485201,2038.474334,2589.9062,2102.84241,2300.359107,36681.39356
1,1,BfloR4,CRZ,748.3539784,864.574242,358.6601148,465.0547812,1287.646928,1878.134684,2754.267566,3237.269982,3050.749052,3245.198881,36650.34627
1,2,BfloR4,CRZ,676.5789736,765.3891572,859.9223624,1000.71559,1412.493973,1984.274201,1995.351462,2709.857883,3398.803822,3430.411913,42694.29893
1,3,BfloR4,CRZ,623.2687764,978.3789616,1075.426111,928.9611708,1286.852455,2019.244135,2332.018694,2900.806341,2878.929257,3322.502792,42571.577
1,1,BfloR4,CRZ-ext,640.971012,730.5308176,537.6603864,428.650684,249.8221108,625.7233864,805.0488252,2037.429875,1989.155223,1620.480474,45173.83429
1,2,BfloR4,CRZ-ext,677.1944728,533.3269708,681.3964792,411.3282184,679.0375652,321.937656,948.1654472,1715.996686,2031.815245,1959.782634,43811.96117
1,3,BfloR4,CRZ-ext,748.2166528,605.2134008,466.237982,750.4292132,590.1691932,571.7514288,697.6003536,1751.800724,1872.22156,2065.91256,30276.78563
2,3,BfloR4,GnRH,663.8132856,251.1847296,2027.239462,1365.115677,1934.471286,2559.405196,4074.138354,4588.398998,4724.875558,7311.136921,17918.42995
2,4,BfloR4,GnRH,825.5941368,537.5920936,2654.287187,1975.666408,1671.182268,1277.675552,4968.697926,3948.932529,6018.29455,8427.503426,20435.95578
2,4,BfloR4,CRZ,449.2366048,411.7830408,2008.316302,1761.262514,1008.929568,1387.358744,807.4969864,5787.25777,8360.858158,9012.302358,22307.57592
2,5,BfloR4,CRZ,394.6606968,412.4331048,2780.266965,2083.466095,1581.798468,1456.792581,753.565448,7043.100032,7353.76241,13187.9888,20586.89106
2,6,BfloR4,CRZ,430.7351552,644.755144,2081.575365,1562.755833,1586.02817,887.8894744,591.8902224,3622.236593,3604.272092,9922.409686,23545.50057
2,4,BfloR4,CRZ-ext,1883.909543,1503.933898,3281.233014,1490.71319,1065.24023,1508.25588,1614.934413,2384.095706,3276.586446,5269.294468,23541.53121
2,5,BfloR4,CRZ-ext,682.077252,788.0617528,2152.888399,1618.264017,1817.548463,1776.952955,394.52836,3100.664088,3957.668746,5572.984104,24047.78904
2,6,BfloR4,CRZ-ext,394.8695712,411.7722064,2440.926611,1832.439677,1871.178743,1186.433738,699.5036664,1882.145204,3973.572399,5373.898796,20000.86315
3,5,BfloR4,GnRH,1316.900422,1656.592107,1207.733179,2084.557321,2121.892056,2839.716643,1442.878209,8895.560118,9490.308605,11593.77616,15306.37793
3,6,BfloR4,GnRH,1748.340101,1466.260142,1587.906436,2690.623712,2354.449414,3425.917897,2154.430671,9764.457388,10984.91132,11574.51091,13446.21734
3,7,BfloR4,GnRH,1871.22068,1310.681555,1425.734393,3991.742399,2781.93495,3000.735825,3473.923265,9341.919073,13683.03967,11322.10341,12272.50405
3,7,BfloR4,CRZ,1377.249494,1324.501872,1422.314725,2939.83657,2872.760695,3000.010806,4185.055583,10859.8106,13718.51703,12299.25721,16123.28209
3,8,BfloR4,CRZ,1040.014153,1152.486428,1311.692723,2619.559396,3568.337693,3497.542961,2777.996557,11056.02641,13273.86914,11801.62206,19220.14461
3,9,BfloR4,CRZ,1711.829573,1119.014226,1645.225998,7181.783284,7922.236262,8895.760298,8461.216445,9299.025967,12122.68235,8257.602067,20592.28741
3,7,BfloR4,CRZ-ext,1436.112202,1577.463599,1570.919882,2690.224699,3709.764537,2769.222115,2617.694899,12780.1303,11680.85726,10030.38403,22468.33204
3,8,BfloR4,CRZ-ext,1188.510506,1411.93016,1452.138355,1960.460882,2871.921618,2805.03064,2633.40145,10501.54991,10967.2488,9834.350163,18620.43301
1,1,BfloR2,GnRH,710.862054,1721.050659,1505.127497,1241.677387,16270.04757,30783.2117,38533.50393,57658.22965,54275.87083,66977.21049,50376.79021
1,2,BfloR2,GnRH,2081.238076,672.9165,3927.726084,2305.66955,24652.22539,26033.20569,44464.65427,55662.41041,54249.59131,60236.30643,30006.99056
1,1,BfloR2,CRZ,782.0138092,1897.850503,672.543914,603.07452,177.7245684,816.770754,745.1805928,478.4532984,1014.938101,905.9911148,31309.84455
1,2,BfloR2,CRZ,675.7429592,815.508658,761.012346,638.782668,532.9075872,532.60942,497.0358904,460.9340736,392.0643556,336.967998,24199.98883
1,3,BfloR2,CRZ,356.1860636,904.1698172,601.5670668,709.84494,497.8522064,622.1017656,781.5596824,673.222704,356.0266276,496.9738464,28584.18436
1,1,BfloR2,CRZ-ext,817.627312,814.9914952,636.983902,602.613216,604.093606,852.0032192,461.6234728,372.3732936,1407.945284,585.6763932,36202.37431
1,2,BfloR2,CRZ-ext,978.6414852,442.676084,477.915796,585.679068,284.2092648,337.4114912,373.1515032,354.6557784,374.3000052,585.6307416,31375.7238
1,3,BfloR2,CRZ-ext,426.636486,726.684012,353.8498704,354.710592,284.5452924,283.8148992,532.5718272,531.6004848,373.5727432,319.8291492,26075.63175
2,3,BfloR2,GnRH,2153.627616,2252.585027,1183.607961,8021.452048,23233.77703,41152.58056,50413.75749,60697.8472,57800.22592,60821.55482,44226.36087
2,4,BfloR2,GnRH,3691.759717,1669.171128,1293.080591,9014.735722,24343.80913,39693.79826,47563.73881,49537.61878,41516.35384,53169.04375,36156.05028
2,5,BfloR2,GnRH,3782.653154,2964.193617,3622.837985,9246.262513,28245.45097,46884.76053,51427.40465,38491.91151,52320.52478,55491.57294,39643.54103
2,4,BfloR2,CRZ,6142.810023,4261.819187,5279.811758,2420.045115,2046.656378,2066.81383,1446.825236,1692.846016,1396.788348,1288.611865,39962.10147
2,5,BfloR2,CRZ,3469.309176,3731.313427,3237.836738,2083.544764,1974.94465,1749.136158,2028.037566,1445.755804,1325.278928,4701.144423,34453.78299
2,6,BfloR2,CRZ,3186.410646,2869.335176,3272.090667,1430.908053,1693.243128,1784.078145,1764.130066,1745.206256,2049.584695,1517.497316,39196.88792
